tconst,originalTitle,isAdult,startYear,runtimeMinutes,averageRating,numVotes,title,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,poster_url,original_language
tt0068935,Meng long guo jiang,0,1972,99,7.2,36513,La fureur du dragon,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,cn
tt0068939,Meres tou '36,0,1972,105,6.9,1074,Jours de 36,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,el
tt0068950,Mimì metallurgico ferito nell'onore,0,1972,121,7.3,2342,Mimi métallo blessé dans son honneur,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0068971,La morte accarezza a mezzanotte,0,1972,102,6.3,1702,La mort caresse à minuit,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,it
tt0068972,La morte ha sorriso all'assassino,0,1973,88,5.8,1410,La mort a souri à l'assassin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,en
tt0068997,The New Centurions,0,1972,103,7.0,2698,Les flics ne dorment pas la nuit,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0069005,Night of the Lepus,0,1972,88,4.1,4947,Les rongeurs de l'apocalypse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,,en
tt0069007,The Nightcomers,0,1971,96,5.8,2562,Le Corrupteur,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,en
tt0069013,Tony Arzenta (Big Guns),0,1973,95,6.7,1814,Tony le sicilien,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0069017,La notte dei diavoli,0,1972,91,6.5,1361,La nuit des diables,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,it
tt0069019,Non si sevizia un paperino,0,1972,105,7.0,9305,Fureur meurtrière,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,it
tt0069027,Nous ne vieillirons pas ensemble,0,1972,110,7.2,1895,Nous ne vieillirons pas ensemble,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0069029,La novia ensangrentada,0,1972,102,6.1,2007,La mariée sanglante,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,es
tt0069031,"Now You See Him, Now You Don't",0,1972,88,6.2,2063,"Pas vu, pas pris",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,en
tt0069035,Nybyggarna,0,1972,202,8.0,4614,Le nouveau monde,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,sv
tt0069048,Gli orrori del castello di Norimberga,0,1972,98,5.9,3729,Baron Vampire,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,it
